EM40647,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5
36866 records,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC
Measurement Time,m³/m³ VWC,°C Temp,mS/cm EC Bulk,m³/m³ VWC,°C Temp,mS/cm EC Bulk,m³/m³ VWC,°C Temp,mS/cm EC Bulk,m³/m³ VWC,°C Temp,mS/cm EC Bulk,m³/m³ VWC,°C Temp,mS/cm EC Bulk
8/31/2009 11:40 PM,0.136,3.4,0.00,0.097,5.2,0.01,0.137,2.6,0.01,0.091,6.9,0.00,0.036,5.3,0.00
8/31/2009 11:45 PM,0.136,3.0,0.00,0.097,4.7,0.00,0.137,2.2,0.01,0.090,6.3,0.00,0.036,4.7,0.00
8/31/2009 11:50 PM,0.136,2.5,0.00,0.097,4.0,0.01,0.137,1.8,0.00,0.090,5.4,0.00,0.035,3.9,0.00
8/31/2009 11:55 PM,0.135,2.3,0.00,0.097,3.7,0.01,0.137,1.6,0.00,0.090,5.4,0.00,0.035,3.3,0.00
9/1/2009 12:00 AM,0.135,2.0,0.00,0.097,3.5,0.01,0.137,1.5,0.01,0.089,5.2,0.00,0.035,2.7,0.01
9/1/2009 12:05 AM,0.135,1.9,0.00,0.097,3.4,0.00,0.136,1.5,0.01,0.088,4.9,0.00,0.035,2.3,0.00
9/1/2009 12:10 AM,0.135,1.9,0.00,0.097,3.3,0.01,0.136,1.4,0.00,0.088,4.4,0.00,0.035,2.0,0.00
9/1/2009 12:15 AM,0.135,1.7,0.00,0.097,2.8,0.01,0.136,1.1,0.00,0.087,3.6,0.00,0.035,1.5,0.00
9/1/2009 12:20 AM,0.135,1.5,0.00,0.097,2.3,0.01,0.135,0.8,0.01,0.086,2.9,0.00,0.035,1.0,0.00
9/1/2009 12:25 AM,0.135,1.3,0.00,0.098,1.7,0.01,0.134,0.5,0.00,0.086,2.2,0.00,0.034,0.5,0.00
9/1/2009 12:30 AM,0.134,0.9,0.00,0.098,1.1,0.01,0.133,0.1,0.01,0.085,1.4,0.00,0.034,0.0,0.00
9/1/2009 12:35 AM,0.134,0.5,0.00,0.098,0.6,0.01,0.133,-0.1,0.00,0.084,0.8,0.00,0.034,-0.3,0.00
9/1/2009 12:40 AM,0.134,0.2,0.00,0.098,0.2,0.01,0.132,-0.3,0.00,0.083,0.4,0.00,0.034,-0.6,0.00
9/1/2009 12:45 AM,0.133,-0.1,0.00,0.098,-0.3,0.01,0.131,-0.6,0.00,0.082,-0.2,0.00,0.034,-0.9,0.01
9/1/2009 12:50 AM,0.133,-0.3,0.00,0.098,-0.6,0.01,0.130,-0.7,0.00,0.081,-0.6,0.00,0.033,-1.1,0.00
