blank,EM40647,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5
blank,36866 records,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC
Original Time,Measurement Time,m³/m³ VWC,°C Temp,mS/cm EC Bulk,m³/m³ VWC,°C Temp,mS/cm EC Bulk,m³/m³ VWC,°C Temp,mS/cm EC Bulk,m³/m³ VWC,°C Temp,mS/cm EC Bulk,m³/m³ VWC,°C Temp,mS/cm EC Bulk
9/1/2009 12:00 AM,2020-11-19 19:00:00,0.135,2.0,0.00,0.097,3.5,0.01,0.137,1.5,0.01,0.089,5.2,0.00,0.035,2.7,0.01
9/1/2009 1:00 AM,2020-11-19 20:00:00,0.133,-0.4,0.00,0.100,-0.6,0.01,0.128,-0.6,0.00,0.079,-0.7,0.00,0.032,-1.1,0.01
9/1/2009 2:00 AM,2020-11-19 21:00:00,0.130,-0.4,0.00,0.104,-0.5,0.00,0.123,-0.5,0.00,0.074,-0.6,0.00,0.030,-0.8,0.01
9/1/2009 3:00 AM,2020-11-19 22:00:00,0.125,-1.3,0.00,0.103,-1.6,0.00,0.118,-1.2,0.00,0.072,-2.0,0.00,0.027,-2.1,0.00
9/1/2009 4:00 AM,2020-11-19 23:00:00,0.121,-2.2,0.00,0.101,-2.4,0.00,0.115,-1.8,0.00,0.070,-2.8,0.00,0.023,-3.0,0.00
9/1/2009 5:00 AM,2020-11-20 00:00:00,0.118,-2.2,0.00,0.097,-2.4,0.01,0.112,-1.8,0.00,0.069,-2.7,0.00,0.020,-3.0,0.01
9/1/2009 6:00 AM,2020-11-20 01:00:00,0.116,-2.4,0.00,0.092,-2.7,0.01,0.109,-2.0,0.00,0.067,-3.0,0.00,0.018,-3.3,0.00
9/1/2009 7:00 AM,2020-11-20 02:00:00,0.115,-2.1,0.00,0.088,-2.5,0.01,0.105,-1.8,0.00,0.066,-2.7,0.00,0.017,-3.0,0.00
9/1/2009 8:00 AM,2020-11-20 03:00:00,0.112,-2.5,0.00,0.081,-2.8,0.01,0.101,-2.1,0.00,0.062,-3.0,0.00,0.016,-3.5,0.00
9/1/2009 9:00 AM,2020-11-20 04:00:00,0.110,-3.2,0.00,0.072,-3.8,0.00,0.095,-2.7,0.00,0.058,-4.1,0.00,0.015,-4.7,0.00
9/1/2009 10:00 AM,2020-11-20 05:00:00,0.109,-2.8,0.00,0.065,-3.6,0.01,0.091,-2.7,0.00,0.055,-3.9,0.00,0.014,-4.3,0.00
9/1/2009 11:00 AM,2020-11-20 06:00:00,0.106,-4.0,0.00,0.058,-4.8,0.01,0.087,-3.5,0.00,0.050,-5.0,0.00,0.013,-5.7,0.00
9/1/2009 12:00 PM,2020-11-20 07:00:00,0.103,-4.2,0.00,0.049,-5.1,0.01,0.081,-3.8,0.00,0.044,-5.2,0.00,0.012,-6.1,0.00
9/1/2009 1:00 PM,2020-11-20 08:00:00,0.101,-4.0,0.00,0.042,-4.9,0.01,0.076,-3.8,0.00,0.039,-5.1,0.00,0.012,-5.9,0.00
9/1/2009 2:00 PM,2020-11-20 09:00:00,0.098,-4.8,0.00,0.038,-5.8,0.00,0.071,-4.4,0.00,0.033,-5.8,0.00,0.012,-6.9,0.00
9/1/2009 3:00 PM,2020-11-20 10:00:00,0.094,-5.1,0.00,0.035,-5.9,0.01,0.067,-4.6,0.00,0.029,-5.9,0.00,0.011,-7.0,0.00
