Node, Msg #, Msg time, Msg Time (Unix), Tx time (ms), Bat V, Temp C, Rel H %, Node Status
2,123,2020-09-05 12:00:13,1599307213,405,3.6,23.86,31.71,0x00
2,294,2020-09-05 13:00:15,1599310815,404,3.59,23.11,32.9,0x00
2,465,2020-09-05 14:00:12,1599314412,404,3.59,23.28,29.41,0x00
2,636,2020-09-05 15:00:14,1599318014,403,3.59,24.09,31.15,0x00
2,808,2020-09-05 16:00:13,1599321613,403,3.59,23.52,30.41,0x00
2,979,2020-09-05 17:00:13,1599325213,403,3.58,22.83,30.1,0x00
2,1150,2020-09-05 18:00:12,1599328812,404,3.58,21.9,29.93,0x00
2,1321,2020-09-05 19:00:06,1599332406,402,3.58,21.09,30.28,0x00
2,1492,2020-09-05 20:00:13,1599336013,402,3.58,19.94,30.29,0x00
2,1663,2020-09-05 21:00:07,1599339607,403,3.57,18.85,30.52,0x00
2,1834,2020-09-05 22:00:07,1599343207,402,3.57,17.73,30.92,0x00
2,2006,2020-09-05 23:00:08,1599346808,402,3.57,16.69,31.32,0x00
2,2177,2020-09-06 00:00:04,1599350404,403,3.57,15.75,32.33,0x00
2,2348,2020-09-06 01:00:03,1599354003,402,3.57,15.27,33.79,0x00
2,2519,2020-09-06 02:00:10,1599357610,402,3.57,15.8,37.68,0x00
2,2690,2020-09-06 03:00:06,1599361206,403,3.57,17.39,40.49,0x00
2,2861,2020-09-06 04:00:08,1599364808,404,3.57,20.37,33.55,0x00
2,3032,2020-09-06 05:00:05,1599368405,404,3.58,20.87,29.89,0x00
2,3203,2020-09-06 06:00:03,1599372003,403,3.57,21.89,31.8,0x00
2,3374,2020-09-06 07:00:08,1599375608,403,3.58,11.87,95.92,0x00
2,3545,2020-09-06 08:00:08,1599379208,402,3.57,11.3,97.05,0x00
2,3716,2020-09-06 09:00:11,1599382811,404,3.57,27.37,71.01,0x00
2,3887,2020-09-06 10:00:09,1599386409,404,3.58,24.8,53.57,0x00
2,4058,2020-09-06 11:00:08,1599390008,404,3.57,22.45,48.67,0x00
2,4229,2020-09-06 12:00:05,1599393605,403,3.57,22.23,46.05,0x00
2,4400,2020-09-06 13:00:12,1599397212,404,3.57,22.78,42.6,0x00
2,4571,2020-09-06 14:00:08,1599400808,404,3.57,23.01,40.12,0x00
2,4742,2020-09-06 15:00:12,1599404412,403,3.57,21.77,40.15,0x00
2,4913,2020-09-06 16:00:09,1599408009,404,3.57,21.31,39.95,0x00
2,5084,2020-09-06 17:00:04,1599411604,403,3.57,21.13,39.37,0x00
2,5255,2020-09-06 18:00:02,1599415202,403,3.57,20.87,38.83,0x00
2,5426,2020-09-06 19:00:05,1599418805,403,3.57,20.61,38.31,0x00
2,5597,2020-09-06 20:00:05,1599422405,404,3.57,20.34,37.88,0x00
2,5768,2020-09-06 21:00:04,1599426004,404,3.57,20.04,37.41,0x00
2,5939,2020-09-06 22:00:06,1599429606,404,3.57,19.79,37.06,0x00
2,6110,2020-09-06 23:00:02,1599433202,402,3.57,19.62,36.87,0x00
2,6281,2020-09-07 00:00:01,1599436801,403,3.57,19.46,36.88,0x00
2,6453,2020-09-07 01:00:19,1599440419,402,3.57,19.39,37.16,0x00
2,6624,2020-09-07 02:00:19,1599444019,404,3.57,19.39,37.52,0x00
2,6795,2020-09-07 03:00:20,1599447620,404,3.57,19.29,37.37,0x00
2,6966,2020-09-07 04:00:16,1599451216,403,3.57,19.15,37.24,0x00
2,7137,2020-09-07 05:00:16,1599454816,403,3.57,19.18,37.18,0x00
2,7307,2020-09-07 06:00:03,1599458403,404,3.57,19.12,37.34,0x00
2,7478,2020-09-07 07:00:00,1599462000,403,3.57,19.12,37.25,0x00
2,7649,2020-09-07 08:00:04,1599465604,402,3.57,19.12,37.45,0x00
2,7820,2020-09-07 09:00:02,1599469202,403,3.57,19.2,37.52,0x00
2,7992,2020-09-07 10:00:16,1599472816,404,3.57,19.18,37.34,0x00
2,8163,2020-09-07 11:00:13,1599476413,404,3.57,19.03,37.2,0x00
2,8334,2020-09-07 12:00:12,1599480012,404,3.57,18.87,36.84,0x00
2,8505,2020-09-07 13:00:14,1599483614,404,3.57,18.95,37.83,0x00
2,8676,2020-09-07 14:00:11,1599487211,402,3.57,19.27,38.48,0x00
2,8847,2020-09-07 15:00:09,1599490809,403,3.57,19.49,38.79,0x00
2,9018,2020-09-07 16:00:09,1599494409,404,3.57,19.53,38.99,0x00
2,9189,2020-09-07 17:00:07,1599498007,402,3.57,19.37,38.93,0x00
2,9360,2020-09-07 18:00:05,1599501605,404,3.57,19.26,39.25,0x00
2,9531,2020-09-07 19:00:02,1599505202,404,3.57,19.21,39.4,0x00
2,9702,2020-09-07 20:00:00,1599508800,404,3.57,19.16,39.41,0x00
2,9874,2020-09-07 21:00:17,1599512417,404,3.57,19.12,39.43,0x00
2,10045,2020-09-07 22:00:17,1599516017,403,3.57,19.12,39.43,0x00
2,10216,2020-09-07 23:00:17,1599519617,402,3.57,19.06,39.43,0x00
2,10387,2020-09-08 00:00:11,1599523211,404,3.57,18.99,39.43,0x00
2,10558,2020-09-08 01:00:10,1599526810,404,3.57,19.15,39.59,0x00
2,10729,2020-09-08 02:00:13,1599530413,403,3.57,20.07,39.66,0x00
2,10900,2020-09-08 03:00:09,1599534009,403,3.57,20.89,39.38,0x00
2,11071,2020-09-08 04:00:04,1599537604,403,3.57,21.36,38.96,0x00
2,11242,2020-09-08 05:00:02,1599541202,403,3.57,21.59,38.66,0x00
2,11413,2020-09-08 06:00:00,1599544800,403,3.58,21.65,38.25,0x00
2,11584,2020-09-08 07:00:01,1599548401,403,3.58,21.73,37.84,0x00
2,11756,2020-09-08 08:00:13,1599552013,403,3.57,21.8,37.4,0x00
2,11927,2020-09-08 09:00:12,1599555612,403,3.57,21.77,36.89,0x00
2,12098,2020-09-08 10:00:09,1599559209,403,3.57,21.36,36.38,0x00
2,12269,2020-09-08 11:00:07,1599562807,404,3.57,20.98,36.13,0x00
2,12440,2020-09-08 12:00:06,1599566406,404,3.57,20.68,35.89,0x00
2,12611,2020-09-08 13:00:03,1599570003,404,3.57,20.52,35.77,0x00
2,12782,2020-09-08 14:00:01,1599573601,403,3.57,20.28,35.57,0x00
2,12953,2020-09-08 15:00:00,1599577200,404,3.57,20.04,35.39,0x00
2,13125,2020-09-08 16:00:16,1599580816,403,3.57,19.9,35.36,0x00
2,13297,2020-09-08 17:00:14,1599584414,403,3.57,19.62,35.0,0x00
2,13468,2020-09-08 18:00:12,1599588012,402,3.57,19.27,34.8,0x00
2,13639,2020-09-08 19:00:09,1599591609,404,3.57,19.0,34.59,0x00
2,13810,2020-09-08 20:00:08,1599595208,403,3.57,18.7,34.45,0x00
2,13981,2020-09-08 21:00:09,1599598809,404,3.57,18.46,34.28,0x00
2,14152,2020-09-08 22:00:08,1599602408,404,3.57,18.21,34.09,0x00
2,14323,2020-09-08 23:00:02,1599606002,404,3.57,18.0,33.91,0x00
2,14495,2020-09-09 00:00:18,1599609618,402,3.57,17.78,33.75,0x00
2,14666,2020-09-09 01:00:19,1599613219,404,3.57,17.94,34.28,0x00
2,14837,2020-09-09 02:00:14,1599616814,402,3.57,19.36,35.25,0x00
2,15008,2020-09-09 03:00:12,1599620412,403,3.58,20.88,33.49,0x00
2,15179,2020-09-09 04:00:09,1599624009,403,3.58,21.79,33.09,0x00
2,15350,2020-09-09 05:00:05,1599627605,403,3.58,22.92,31.68,0x00
2,15521,2020-09-09 06:00:03,1599631203,403,3.58,23.35,31.1,0x00
2,15693,2020-09-09 07:00:20,1599634820,403,3.58,23.46,30.79,0x00
2,15864,2020-09-09 08:00:20,1599638420,403,3.58,23.32,28.38,0x00
2,16035,2020-09-09 09:00:19,1599642019,404,3.58,23.19,27.86,0x00
2,16207,2020-09-09 10:00:17,1599645617,404,3.58,23.05,28.12,0x00
2,16378,2020-09-09 11:00:13,1599649213,403,3.58,22.84,29.26,0x00
2,16549,2020-09-09 12:00:08,1599652808,402,3.58,18.14,76.87,0x00
2,16720,2020-09-09 13:00:04,1599656404,404,3.58,16.69,79.01,0x00
2,16891,2020-09-09 14:00:00,1599660000,402,3.58,15.37,80.36,0x00
2,17063,2020-09-09 15:00:18,1599663618,402,3.57,14.17,81.33,0x00
2,17234,2020-09-09 16:00:13,1599667213,402,3.57,13.19,81.9,0x00
2,17405,2020-09-09 17:00:10,1599670810,402,3.57,12.31,82.25,0x00
2,17576,2020-09-09 18:00:04,1599674404,402,3.57,11.53,82.51,0x00
2,17748,2020-09-09 19:00:20,1599678020,403,3.57,10.86,82.62,0x00
2,17919,2020-09-09 20:00:16,1599681616,402,3.57,10.24,82.71,0x00
2,18092,2020-09-09 21:00:14,1599685214,403,3.57,9.67,82.7,0x00
2,18263,2020-09-09 22:00:11,1599688811,402,3.57,9.17,82.71,0x00
2,18434,2020-09-09 23:00:07,1599692407,402,3.57,8.72,82.63,0x00
2,18605,2020-09-10 00:00:04,1599696004,402,3.57,8.33,82.58,0x00
2,18777,2020-09-10 01:00:19,1599699619,403,3.57,8.07,82.44,0x00
2,18949,2020-09-10 02:00:17,1599703217,402,3.57,8.85,82.05,0x00
2,19120,2020-09-10 03:00:15,1599706815,402,3.57,10.65,81.54,0x00
2,19291,2020-09-10 04:00:14,1599710414,403,3.57,12.83,81.26,0x00
2,19462,2020-09-10 05:00:10,1599714010,404,3.57,15.2,81.37,0x00
2,19633,2020-09-10 06:00:11,1599717611,403,3.57,17.87,81.37,0x00
2,19804,2020-09-10 07:00:08,1599721208,404,3.57,20.61,81.73,0x00
2,19975,2020-09-10 08:00:10,1599724810,404,3.57,22.14,82.74,0x00
2,20146,2020-09-10 09:00:06,1599728406,403,3.57,23.07,83.72,0x00
2,20317,2020-09-10 10:00:03,1599732003,404,3.57,23.27,84.77,0x00
2,20488,2020-09-10 11:00:05,1599735605,403,3.57,22.3,85.78,0x00
