Node, Msg #, Msg time, Msg Time (Unix), Tx time (ms), Bat V, Temp C, Rel H %, Node Status
3,1,2021-04-28 21:50:43,1619646643,0,4.26,17.79,33.62,0x00
3,2,2021-04-29 19:36:05,1619724965,386,3.46,17.84,33.61,0x00
3,7,2021-04-29 20:01:10,1619726470,386,3.44,15.21,98.36,0x02
3,19,2021-04-29 21:01:22,1619730082,386,3.43,13.95,99.99,0x02
3,31,2021-04-29 22:01:34,1619733694,386,3.45,12.86,99.99,0x00
3,43,2021-04-29 23:01:46,1619737306,385,3.44,11.95,99.99,0x00
3,55,2021-04-30 00:01:58,1619740918,385,3.45,11.2,99.99,0x00
3,67,2021-04-30 01:02:10,1619744530,385,3.45,10.55,99.99,0x00
3,79,2021-04-30 02:02:22,1619748142,385,3.45,9.99,99.99,0x00
3,91,2021-04-30 03:02:34,1619751754,385,3.46,9.49,99.99,0x00
3,103,2021-04-30 04:02:46,1619755366,385,3.45,9.05,99.99,0x00
3,115,2021-04-30 05:02:58,1619758978,385,3.45,8.63,99.99,0x00
3,127,2021-04-30 06:03:10,1619762590,385,3.46,8.28,99.99,0x00
3,139,2021-04-30 07:03:22,1619766202,385,3.45,7.95,99.99,0x00
3,151,2021-04-30 08:03:34,1619769814,385,3.46,7.7,99.99,0x00
3,163,2021-04-30 09:03:46,1619773426,385,3.46,7.84,99.99,0x00
3,175,2021-04-30 10:03:58,1619777038,385,3.46,8.49,99.99,0x02
3,187,2021-04-30 11:04:10,1619780650,385,3.47,9.8,99.99,0x00
3,199,2021-04-30 12:04:22,1619784262,386,3.47,11.32,99.99,0x02
3,211,2021-04-30 13:04:34,1619787874,386,3.48,13.15,99.99,0x00
3,223,2021-04-30 14:04:46,1619791486,386,3.49,15.14,99.99,0x00
3,235,2021-04-30 15:04:58,1619795098,386,3.49,16.44,99.99,0x00
3,246,2021-04-30 16:00:09,1619798409,387,3.5,17.21,99.99,0x00
3,258,2021-04-30 17:00:21,1619802021,386,3.49,16.78,99.99,0x00
3,270,2021-04-30 18:00:33,1619805633,386,3.49,16.01,99.99,0x00
3,282,2021-04-30 19:00:45,1619809245,386,3.49,15.5,99.99,0x00
3,294,2021-04-30 20:00:57,1619812857,386,3.49,14.95,99.99,0x00
3,306,2021-04-30 21:01:09,1619816469,386,3.49,14.15,99.99,0x00
3,318,2021-04-30 22:01:21,1619820081,386,3.48,13.25,99.99,0x00
3,330,2021-04-30 23:01:33,1619823693,386,3.48,12.41,99.99,0x00
3,342,2021-05-01 00:01:45,1619827305,386,3.48,11.67,99.99,0x00
3,354,2021-05-01 01:01:57,1619830917,385,3.48,11.01,99.99,0x00
3,366,2021-05-01 02:02:09,1619834529,385,3.48,10.42,99.99,0x00
3,378,2021-05-01 03:02:21,1619838141,385,3.48,9.91,99.99,0x00
3,390,2021-05-01 04:02:33,1619841753,385,3.48,9.46,99.99,0x00
3,402,2021-05-01 05:02:45,1619845365,385,3.48,9.07,99.99,0x00
3,414,2021-05-01 06:02:57,1619848977,385,3.48,8.72,99.99,0x00
