Node, Msg #, Msg time, Msg Time (Unix), Tx time (ms), Bat V, Temp C, Rel H %, Node Status
5,1,2021-08-06 20:19:19,1628281159,0,4.24,22.6,45.64,0x00
5,2,2021-08-06 21:19:19,1628284759,386,3.23,22.61,43.65,0x02
5,3,2021-08-06 23:28:25,1628292505,386,3.27,22.61,43.65,0x00
5,4,2021-08-07 00:28:25,1628296105,386,3.25,22.13,43.64,0x00
5,5,2021-08-07 01:28:25,1628299705,386,3.24,21.75,43.5,0x00
5,6,2021-08-07 02:28:25,1628303305,386,3.23,21.23,43.38,0x00
5,7,2021-08-07 03:28:25,1628306905,386,3.23,20.85,43.23,0x00
5,8,2021-08-07 04:28:25,1628310505,386,3.23,20.35,42.98,0x00
5,9,2021-08-07 05:28:25,1628314105,386,3.23,19.93,42.81,0x00
5,10,2021-08-07 06:28:25,1628317705,386,3.23,19.56,42.71,0x00
5,11,2021-08-07 07:28:25,1628321305,386,3.23,19.35,42.35,0x00
5,12,2021-08-07 08:28:25,1628324905,386,3.27,18.33,47.81,0x00
5,13,2021-08-07 09:28:25,1628328505,386,3.3,24.98,41.66,0x00
5,14,2021-08-07 10:28:25,1628332105,386,3.23,23.22,34.38,0x02
5,15,2021-08-07 11:28:25,1628335705,386,3.2,24.79,45.21,0x02
5,16,2021-08-07 12:28:25,1628339305,386,3.25,23.67,43.65,0x02
5,17,2021-08-07 13:28:25,1628342905,386,3.26,22.83,93.65,0x02
5,18,2021-08-07 14:28:25,1628346505,386,3.26,24.28,92.95,0x02
5,19,2021-08-07 15:28:25,1628350105,386,3.26,23.66,93.67,0x02
5,20,2021-08-07 16:28:25,1628353705,386,3.26,22.33,94.8,0x02
5,21,2021-08-07 17:28:25,1628357305,386,3.27,20.81,95.79,0x02
5,22,2021-08-07 18:28:25,1628360905,386,3.26,19.43,96.6,0x02
5,23,2021-08-07 19:28:25,1628364505,386,3.27,17.51,97.73,0x02
5,24,2021-08-07 20:28:25,1628368105,386,3.27,15.96,98.45,0x02
5,25,2021-08-07 21:28:25,1628371705,386,3.27,14.45,98.9,0x02
5,26,2021-08-07 22:28:25,1628375305,386,3.27,13.1,99.12,0x02
5,27,2021-08-07 23:28:25,1628378905,386,3.27,12.25,99.24,0x02
5,28,2021-08-08 00:28:25,1628382505,386,3.27,11.6,99.32,0x02
5,29,2021-08-08 01:28:25,1628386105,386,3.27,11.02,99.43,0x02
5,30,2021-08-08 02:28:25,1628389705,386,3.28,10.67,99.5,0x02
5,31,2021-08-08 03:28:25,1628393305,386,3.28,10.38,99.53,0x02
5,32,2021-08-08 04:28:25,1628396905,386,3.28,10.0,99.57,0x02
5,33,2021-08-08 05:28:25,1628400505,386,3.28,9.64,99.64,0x02
5,34,2021-08-08 06:28:25,1628404105,386,3.28,9.43,99.67,0x02
5,35,2021-08-08 07:28:25,1628407705,386,3.28,9.35,99.71,0x02
5,36,2021-08-08 08:28:25,1628411305,386,3.29,10.44,99.77,0x02
5,37,2021-08-08 09:28:25,1628414905,386,3.29,12.67,99.87,0x02
5,38,2021-08-08 10:28:25,1628418505,386,3.29,15.11,99.84,0x02
5,39,2021-08-08 11:28:25,1628422105,386,3.3,17.7,97.53,0x02
5,40,2021-08-08 12:28:25,1628425705,386,3.3,18.2,97.22,0x02
5,41,2021-08-08 13:28:25,1628429305,386,3.3,16.54,98.29,0x02
5,42,2021-08-08 14:28:25,1628432905,386,3.3,14.31,99.3,0x02
5,43,2021-08-08 15:28:25,1628436505,386,3.3,12.78,99.72,0x02
5,44,2021-08-08 16:28:25,1628440105,386,3.31,12.78,99.78,0x02
5,45,2021-08-08 17:28:25,1628443705,386,3.31,13.07,99.68,0x02
5,46,2021-08-08 18:28:25,1628447305,386,3.31,11.78,99.83,0x02
5,47,2021-08-08 19:28:25,1628450905,386,3.31,10.52,99.94,0x02
5,48,2021-08-08 20:28:25,1628454505,386,3.31,9.27,99.99,0x02
5,49,2021-08-08 21:28:25,1628458105,386,3.31,8.01,99.99,0x02
5,50,2021-08-08 22:28:25,1628461705,386,3.3,7.23,99.99,0x02
5,51,2021-08-08 23:28:25,1628465305,386,3.3,6.28,99.99,0x02
5,52,2021-08-09 00:28:25,1628468905,386,3.3,5.56,99.99,0x02
5,53,2021-08-09 01:28:25,1628472505,386,3.3,5.16,99.99,0x02
5,54,2021-08-09 02:28:25,1628476105,386,3.3,4.92,99.99,0x02
