Node, Msg #, Msg time, Msg Time (Unix), Tx time (ms), Bat V, Temp C, Rel H %, Node Status
2,123,2021-02-07 18:00:08,1612720808,994,3.44,-5.97,89.22,0x00
2,295,2021-02-07 19:00:20,1612724420,993,3.41,-5.01,91.36,0x00
2,466,2021-02-07 20:00:11,1612728011,993,3.39,-4.6,92.28,0x00
2,637,2021-02-07 21:00:02,1612731602,994,3.37,-4.44,92.86,0x00
2,809,2021-02-07 22:00:14,1612735214,994,3.36,-4.4,93.21,0x00
2,980,2021-02-07 23:00:06,1612738806,994,3.35,-4.38,93.43,0x00
2,1152,2021-02-08 00:00:18,1612742418,994,3.34,-4.38,93.65,0x00
2,1323,2021-02-08 01:00:09,1612746009,5435,3.34,-4.38,93.77,0x02
2,1494,2021-02-08 02:00:00,1612749600,993,3.34,-4.42,93.87,0x00
2,1666,2021-02-08 03:00:12,1612753212,995,3.34,-4.48,93.93,0x00
2,1837,2021-02-08 04:00:03,1612756803,994,3.34,-4.54,94.0,0x00
2,2009,2021-02-08 05:00:15,1612760415,993,3.33,-4.6,94.05,0x00
2,2180,2021-02-08 06:00:06,1612764006,994,3.33,-4.67,94.07,0x00
2,2352,2021-02-08 07:00:18,1612767618,993,3.32,-4.76,94.12,0x00
2,2523,2021-02-08 08:00:09,1612771209,994,3.33,-4.77,94.1,0x00
2,2695,2021-02-08 09:00:19,1612774819,994,3.32,-4.83,94.14,0x00
2,2866,2021-02-08 10:00:10,1612778410,994,3.32,-4.85,94.21,0x00
2,3037,2021-02-08 11:00:02,1612782002,994,3.32,-4.88,94.22,0x00
2,3209,2021-02-08 12:00:14,1612785614,5436,3.32,-4.88,94.25,0x02
2,3380,2021-02-08 13:00:05,1612789205,993,3.32,-4.87,94.28,0x00
2,3552,2021-02-08 14:00:17,1612792817,993,3.32,-4.84,94.36,0x00
2,3723,2021-02-08 15:00:08,1612796408,994,3.32,-4.76,94.48,0x00
2,3895,2021-02-08 16:00:20,1612800020,994,3.31,-4.71,94.53,0x00
2,4066,2021-02-08 17:00:11,1612803611,994,3.31,-4.59,94.62,0x00
2,4237,2021-02-08 18:00:02,1612807202,994,3.31,-4.48,94.72,0x00
2,4409,2021-02-08 19:00:14,1612810814,994,3.31,-4.38,94.84,0x00
2,4580,2021-02-08 20:00:05,1612814405,994,3.31,-4.26,94.98,0x00
2,4752,2021-02-08 21:00:17,1612818017,994,3.31,-4.17,95.1,0x00
2,4923,2021-02-08 22:00:08,1612821608,994,3.31,-4.12,95.14,0x00
2,5095,2021-02-08 23:00:20,1612825220,994,3.31,-4.12,95.19,0x00
2,5266,2021-02-09 00:00:11,1612828811,993,3.31,-4.12,95.23,0x00
2,5437,2021-02-09 01:00:02,1612832402,993,3.31,-4.19,95.24,0x00
2,5609,2021-02-09 02:00:14,1612836014,993,3.3,-4.25,95.21,0x00
2,5780,2021-02-09 03:00:05,1612839605,994,3.3,-4.35,95.15,0x00
2,5952,2021-02-09 04:00:17,1612843217,992,3.3,-4.46,95.11,0x00
2,6123,2021-02-09 05:00:08,1612846808,992,3.3,-4.57,95.08,0x00
2,6295,2021-02-09 06:00:20,1612850420,993,3.3,-4.71,94.98,0x00
2,6466,2021-02-09 07:00:11,1612854011,994,3.3,-4.84,94.92,0x00
2,6637,2021-02-09 08:00:02,1612857602,994,3.3,-4.98,94.86,0x00
2,6809,2021-02-09 09:00:12,1612861212,994,3.3,-5.1,94.76,0x00
2,6980,2021-02-09 10:00:03,1612864803,993,3.29,-5.24,94.67,0x00
2,7152,2021-02-09 11:00:15,1612868415,993,3.3,-5.35,94.62,0x00
2,7323,2021-02-09 12:00:06,1612872006,994,3.3,-5.46,94.54,0x00
2,7495,2021-02-09 13:00:18,1612875618,994,3.29,-5.58,94.46,0x00
2,7666,2021-02-09 14:00:09,1612879209,994,3.29,-5.67,94.44,0x00
2,7837,2021-02-09 15:00:00,1612882800,994,3.29,-5.73,94.38,0x00
2,8009,2021-02-09 16:00:12,1612886412,994,3.29,-5.72,94.38,0x00
