Node, Msg #, Msg time, Msg Time (Unix), Tx time (ms), Bat V, Temp C, Rel H %, Node Status
3,93,2021-02-07 18:00:04,1612720804,991,3.37,-7.25,92.43,0x00
3,265,2021-02-07 19:00:17,1612724417,990,3.36,-7.18,95.25,0x00
3,436,2021-02-07 20:00:08,1612728008,990,3.36,-6.69,96.29,0x00
3,608,2021-02-07 21:00:20,1612731620,991,3.37,-6.5,97.0,0x00
3,779,2021-02-07 22:00:11,1612735211,990,3.37,-6.53,97.47,0x00
3,950,2021-02-07 23:00:02,1612738802,990,3.37,-6.59,97.72,0x00
3,1122,2021-02-08 00:00:14,1612742414,990,3.37,-6.61,97.94,0x00
3,1293,2021-02-08 01:00:05,1612746005,990,3.37,-6.69,98.13,0x00
3,1465,2021-02-08 02:00:17,1612749617,990,3.38,-6.76,98.23,0x00
3,1636,2021-02-08 03:00:08,1612753208,990,3.38,-6.8,98.35,0x00
3,1808,2021-02-08 04:00:19,1612756819,990,3.38,-6.83,98.45,0x00
3,1979,2021-02-08 05:00:10,1612760410,990,3.39,-6.84,98.55,0x00
3,2150,2021-02-08 06:00:01,1612764001,990,3.39,-6.82,98.62,0x00
3,2322,2021-02-08 07:00:13,1612767613,990,3.38,-6.77,98.7,0x00
3,2493,2021-02-08 08:00:04,1612771204,990,3.38,-6.69,98.79,0x00
3,2665,2021-02-08 09:00:16,1612774816,990,3.38,-6.58,98.91,0x00
3,2836,2021-02-08 10:00:08,1612778408,990,3.38,-6.41,98.99,0x00
3,3008,2021-02-08 11:00:20,1612782020,990,3.38,-6.11,99.06,0x00
3,3179,2021-02-08 12:00:11,1612785611,990,3.38,-5.83,99.18,0x00
3,3350,2021-02-08 13:00:02,1612789202,990,3.38,-5.39,99.32,0x00
3,3522,2021-02-08 14:00:14,1612792814,990,3.38,-4.98,99.49,0x00
3,3693,2021-02-08 15:00:05,1612796405,990,3.38,-4.57,99.74,0x00
3,3865,2021-02-08 16:00:17,1612800017,990,3.38,-4.13,99.92,0x00
3,4036,2021-02-08 17:00:08,1612803608,990,3.38,-3.84,99.99,0x00
3,4208,2021-02-08 18:00:20,1612807220,990,3.38,-3.71,99.99,0x00
3,4379,2021-02-08 19:00:11,1612810811,990,3.38,-3.78,99.99,0x00
3,4550,2021-02-08 20:00:02,1612814402,990,3.38,-3.91,99.99,0x00
3,4722,2021-02-08 21:00:14,1612818014,990,3.39,-4.17,99.99,0x00
3,4893,2021-02-08 22:00:05,1612821605,990,3.38,-4.53,99.99,0x00
3,5065,2021-02-08 23:00:17,1612825217,990,3.38,-4.92,99.99,0x00
3,5236,2021-02-09 00:00:08,1612828808,990,3.38,-5.28,99.99,0x00
3,5408,2021-02-09 01:00:20,1612832420,990,3.38,-5.66,99.99,0x00
3,5579,2021-02-09 02:00:11,1612836011,990,3.38,-6.0,99.99,0x00
3,5750,2021-02-09 03:00:02,1612839602,990,3.38,-6.36,99.99,0x00
3,5922,2021-02-09 04:00:14,1612843214,990,3.38,-6.71,99.99,0x00
3,6093,2021-02-09 05:00:05,1612846805,990,3.38,-6.93,99.99,0x00
3,6265,2021-02-09 06:00:15,1612850415,990,3.38,-7.13,99.99,0x00
3,6436,2021-02-09 07:00:06,1612854006,990,3.38,-7.35,99.99,0x00
3,6608,2021-02-09 08:00:18,1612857618,990,3.38,-7.59,99.99,0x00
3,6779,2021-02-09 09:00:09,1612861209,990,3.38,-7.76,99.91,0x00
3,6950,2021-02-09 10:00:00,1612864800,990,3.38,-7.96,99.85,0x00
3,7122,2021-02-09 11:00:12,1612868412,990,3.38,-8.1,99.8,0x00
3,7293,2021-02-09 12:00:03,1612872003,990,3.38,-8.05,99.67,0x00
3,7465,2021-02-09 13:00:15,1612875615,990,3.38,-7.74,99.54,0x00
3,7636,2021-02-09 14:00:06,1612879206,990,3.38,-7.39,99.63,0x00
3,7808,2021-02-09 15:00:18,1612882818,990,3.38,-6.87,99.73,0x00
3,7979,2021-02-09 16:00:09,1612886409,990,3.38,-6.29,99.85,0x00
3,8150,2021-02-09 17:00:01,1612890001,990,3.38,-5.93,99.99,0x00
3,8322,2021-02-09 18:00:13,1612893613,990,3.38,-5.59,99.99,0x00
3,8493,2021-02-09 19:00:04,1612897204,990,3.38,-5.46,99.99,0x00
3,8665,2021-02-09 20:00:15,1612900815,1725,3.38,-5.49,99.99,0x00
3,8836,2021-02-09 21:00:06,1612904406,1727,3.38,-5.7,99.99,0x00
3,9008,2021-02-09 22:00:18,1612908018,1728,3.38,-6.05,99.99,0x00
3,9179,2021-02-09 23:00:09,1612911609,1729,3.37,-6.52,99.99,0x00
3,9350,2021-02-10 00:00:00,1612915200,1732,3.37,-7.03,99.99,0x00
3,9522,2021-02-10 01:00:12,1612918812,1734,3.37,-7.55,99.99,0x00
3,9693,2021-02-10 02:00:03,1612922403,1735,3.37,-8.06,99.99,0x00
3,9865,2021-02-10 03:00:15,1612926015,1736,3.37,-8.45,99.99,0x00
3,10036,2021-02-10 04:00:06,1612929606,1739,3.37,-8.77,99.99,0x00
3,10208,2021-02-10 05:00:18,1612933218,1740,3.37,-9.02,99.84,0x00
3,10379,2021-02-10 06:00:09,1612936809,1741,3.36,-9.14,99.79,0x00
3,10550,2021-02-10 07:00:00,1612940400,1743,3.36,-9.2,99.7,0x00
