Sampling Feature UUID: a8098bc0-141d-4882-b251-bedc0219fe1b
Date and Time in UTC+0
Result UUID: ,36f4f6a1-2f36-4083-b8a8-94f50acdd066,55f349b7-3491-40de-a828-9abb31e9f20d,fbee68c8-5463-4a38-98a8-f985fba923e8,be1d621e-95d4-447e-bee7-97d4102c9f2e
2023-10-28 11:02:35,1,3.15,19.95,32
2023-10-28 12:02:35,2,2.69,-9.88,82
2023-10-28 13:02:35,3,2.93,-11.84,84
2023-10-28 14:02:35,4,2.89,-12.77,84
2023-10-28 15:02:35,5,2.63,-11.97,85
2023-10-28 16:02:35,6,2.9,-11.7,85
2023-10-28 17:02:35,7,2.66,-12.24,85
2023-10-28 18:02:35,8,2.85,-15.57,83
2023-10-28 19:02:35,9,2.7,-17.39,82
2023-10-28 20:02:35,10,3.09,-18.26,83
2023-10-28 21:02:35,11,2.83,-19.5,82
2023-10-28 22:02:35,12,2.75,-19.23,83
2023-10-28 23:02:35,13,2.51,-20.29,82
2023-10-29 00:02:35,14,2.79,-20.81,82
2023-10-29 01:02:35,15,2.95,-18.79,83
2023-10-29 02:02:35,16,2.78,-18.87,83
2023-10-29 03:02:35,17,2.79,-20.25,82
2023-10-29 04:02:35,18,2.85,-11.84,88
2023-10-29 05:02:35,19,2.84,-9.46,84
2023-10-29 06:02:35,20,3.01,-4.46,76
2023-10-29 07:02:35,21,2.56,0.8,59
2023-10-29 08:02:35,22,2.79,1.42,43
2023-10-29 09:02:35,23,2.73,5.41,31
2023-10-29 10:02:35,24,2.48,4.76,35
2023-10-29 11:02:35,25,2.62,3.26,37
2023-10-29 13:02:35,27,2.74,-7.49,68
2023-10-29 14:02:35,28,2.86,-12.52,83
2023-10-29 15:02:35,29,2.73,-13.68,83
2023-10-29 16:02:35,30,2.73,-15.34,83
2023-10-29 17:02:35,31,2.67,-15.69,83
2023-10-29 18:02:35,32,2.95,-16.54,83
2023-10-29 19:02:35,33,2.74,-17.44,82
2023-10-29 20:02:35,34,2.74,-17.02,83
2023-10-29 21:02:35,35,2.88,-17.81,83
2023-10-29 22:02:35,36,2.75,-18.19,82
2023-10-29 23:02:35,37,2.79,-18.7,82
2023-10-30 00:02:35,38,2.54,-18.23,83
2023-10-30 01:02:35,39,2.83,-18.71,82
2023-10-30 02:02:35,40,2.89,-18.71,81
2023-10-30 03:02:35,41,2.82,-17.64,82
2023-10-30 04:02:35,42,2.48,-9.02,85
2023-10-30 05:02:35,43,2.72,-4.81,69
2023-10-30 06:02:35,44,2.66,1.6,48
2023-10-30 07:02:35,45,2.64,4.3,39
2023-10-30 08:02:35,46,2.77,5.43,39
2023-10-30 09:02:35,47,2.79,12.89,26
