# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
10, 1, 1697283540, 447, 0, 2067, 3243, 0x00
3, 1, 1698512555, 315, 0, 1995, 3155, 0x00
5, 1, 1687728448, 340, 0, 2025, 3899, 0x00
5, 1, 1698514157, 341, 0, 1986, 3355, 0x02
10, 2, 1698514587, 328, 427, 1956, 3338, 0x00
3, 2, 1698516155, 269, 428, -988, 8217, 0x00
5, 2, 1698517757, 275, 427, -1016, 8190, 0x00
10, 3, 1698518187, 322, 427, -115, 9545, 0x00
3, 3, 1698519755, 293, 425, -1184, 8430, 0x00
5, 3, 1698521357, 285, 427, -1267, 8026, 0x00
10, 4, 1698521787, 332, 427, -88, 9698, 0x04
3, 4, 1698523355, 289, 424, -1277, 8417, 0x00
5, 4, 1698524957, 276, 427, -1191, 8458, 0x00
10, 5, 1698525387, 333, 427, -115, 9770, 0x00
3, 5, 1698526955, 263, 424, -1197, 8466, 0x00
5, 5, 1698528557, 278, 428, -1118, 8417, 0x00
10, 6, 1698528987, 334, 427, -153, 9796, 0x00
3, 6, 1698530555, 290, 424, -1170, 8491, 0x00
5, 6, 1698532157, 268, 427, -1116, 8519, 0x00
10, 7, 1698532587, 333, 428, -182, 9802, 0x00
3, 7, 1698534155, 266, 425, -1224, 8507, 0x00
5, 7, 1698535757, 249, 428, -1267, 8604, 0x00
10, 8, 1698536187, 333, 427, -198, 9802, 0x00
3, 8, 1698537755, 285, 424, -1557, 8309, 0x00
5, 8, 1698539357, 285, 427, -1512, 8625, 0x00
10, 9, 1698539787, 333, 427, -220, 9799, 0x00
3, 9, 1698541355, 270, 424, -1739, 8245, 0x00
5, 9, 1698542957, 268, 427, -1646, 8523, 0x00
10, 10, 1698543387, 333, 427, -245, 9786, 0x00
3, 10, 1698544955, 309, 424, -1826, 8295, 0x00
5, 10, 1698546557, 278, 427, -1691, 8312, 0x00
10, 11, 1698546987, 333, 428, -282, 9764, 0x00
3, 11, 1698548555, 283, 425, -1950, 8194, 0x00
5, 11, 1698550157, 271, 427, -1827, 8327, 0x00
10, 12, 1698550587, 334, 427, -322, 9738, 0x00
3, 12, 1698552155, 275, 424, -1923, 8272, 0x00
5, 12, 1698553757, 252, 427, -1893, 8166, 0x00
10, 13, 1698554187, 334, 427, -363, 9707, 0x00
3, 13, 1698555755, 251, 424, -2029, 8209, 0x00
5, 13, 1698557357, 266, 427, -2012, 8204, 0x00
10, 14, 1698557787, 334, 427, -401, 9678, 0x00
3, 14, 1698559355, 279, 424, -2081, 8192, 0x00
5, 14, 1698560957, 283, 428, -1924, 8197, 0x00
10, 15, 1698561387, 334, 427, -444, 9645, 0x00
3, 15, 1698562955, 295, 423, -1879, 8260, 0x00
5, 15, 1698564557, 269, 427, -1775, 8316, 0x00
10, 16, 1698564987, 334, 427, -486, 9618, 0x00
3, 16, 1698566555, 278, 424, -1887, 8273, 0x00
5, 16, 1698568157, 289, 427, -1933, 8193, 0x00
10, 17, 1698568587, 333, 428, -513, 9603, 0x00
3, 17, 1698570155, 279, 424, -2025, 8220, 0x00
5, 17, 1698571757, 296, 427, -1515, 8412, 0x00
10, 18, 1698572187, 333, 427, -540, 9582, 0x00
3, 18, 1698573755, 285, 424, -1184, 8762, 0x00
5, 18, 1698575357, 277, 428, -993, 7783, 0x00
10, 19, 1698575787, 334, 427, -546, 9583, 0x00
3, 19, 1698577355, 284, 425, -946, 8429, 0x00
5, 19, 1698578957, 300, 427, -583, 6787, 0x00
10, 20, 1698579387, 334, 427, -503, 9622, 0x00
3, 20, 1698580955, 301, 426, -446, 7571, 0x00
5, 20, 1698582557, 291, 427, -393, 6047, 0x00
10, 21, 1698582987, 334, 427, -441, 9679, 0x00
3, 21, 1698584555, 256, 426, 80, 5854, 0x00
5, 21, 1698586157, 285, 428, 5, 4862, 0x00
10, 22, 1698586587, 334, 427, -373, 9731, 0x00
3, 22, 1698588155, 279, 427, 142, 4329, 0x00
5, 22, 1698589757, 298, 427, 355, 3764, 0x00
10, 23, 1698590187, 334, 427, -312, 9775, 0x00
3, 23, 1698591755, 273, 427, 541, 3095, 0x00
5, 23, 1698593357, 253, 427, 115, 4376, 0x00
10, 24, 1698593787, 334, 427, -262, 9820, 0x00
time request, 10
3, 24, 1698595355, 248, 427, 476, 3462, 0x00
time request, 3
5, 24, 1698596957, 295, 428, 233, 4241, 0x00
time request, 5
10, 25, 1698597387, 334, 427, -228, 9847, 0x02
3, 25, 1698598955, 262, 427, 326, 3691, 0x02
5, 25, 1698600557, 271, 427, 45, 4474, 0x02
10, 26, 1698600987, 335, 427, -207, 9873, 0x00
5, 26, 1698604157, 265, 427, -479, 6192, 0x00
10, 27, 1698604587, 335, 427, -200, 9882, 0x00
3, 27, 1698606155, 274, 425, -749, 6808, 0x00
5, 27, 1698607757, 287, 427, -947, 7842, 0x00
# Start Log
Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
3, 28, 1698609755, 286, 425, -1252, 8347, 0x00
5, 28, 1698611357, 244, 428, -1171, 8755, 0x00
10, 29, 1698611787, 335, 427, -227, 9876, 0x00
3, 29, 1698613355, 273, 425, -1368, 8348, 0x00
5, 29, 1698614957, 282, 427, -1230, 8715, 0x00
10, 30, 1698615387, 334, 427, -255, 9858, 0x00
# Start Log
Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
3, 30, 1698616955, 273, 424, -1534, 8331, 0x00
5, 30, 1698618557, 293, 427, -1426, 8712, 0x00
10, 31, 1698618987, 334, 427, -292, 9833, 0x00
3, 31, 1698620555, 267, 425, -1569, 8336, 0x00
5, 31, 1698622157, 272, 427, -1527, 8289, 0x00
10, 32, 1698622587, 334, 428, -332, 9800, 0x00
3, 32, 1698624155, 295, 424, -1654, 8297, 0x00
5, 32, 1698625757, 272, 427, -1598, 8456, 0x00
10, 33, 1698626187, 334, 427, -370, 9769, 0x00
3, 33, 1698627755, 274, 424, -1744, 8220, 0x00
5, 33, 1698629357, 272, 428, -1595, 8397, 0x00
10, 34, 1698629787, 334, 427, -408, 9736, 0x00
3, 34, 1698631355, 274, 424, -1702, 8262, 0x00
5, 34, 1698632957, 291, 427, -1636, 8417, 0x00
10, 35, 1698633387, 334, 427, -442, 9711, 0x00
3, 35, 1698634955, 288, 424, -1781, 8279, 0x00
5, 35, 1698636557, 258, 427, -1704, 8397, 0x00
10, 36, 1698636987, 334, 428, -476, 9687, 0x00
3, 36, 1698638555, 275, 425, -1819, 8237, 0x00
5, 36, 1698640157, 272, 427, -1794, 8326, 0x00
10, 37, 1698640587, 333, 427, -502, 9666, 0x00
3, 37, 1698642155, 279, 424, -1870, 8175, 0x00
5, 37, 1698643757, 294, 427, -1784, 8303, 0x00
10, 38, 1698644187, 333, 427, -530, 9643, 0x00
3, 38, 1698645755, 254, 424, -1823, 8266, 0x00
5, 38, 1698647357, 266, 427, -1792, 8239, 0x00
10, 39, 1698647787, 333, 427, -553, 9625, 0x00
3, 39, 1698649355, 283, 424, -1871, 8176, 0x00
5, 39, 1698650957, 304, 427, -1870, 8254, 0x00
10, 40, 1698651387, 334, 428, -571, 9609, 0x00
3, 40, 1698652955, 289, 424, -1871, 8132, 0x00
5, 40, 1698654557, 282, 427, -1774, 8230, 0x00
10, 41, 1698654987, 333, 427, -590, 9594, 0x00
3, 41, 1698656555, 282, 424, -1764, 8249, 0x00
5, 41, 1698658157, 269, 427, -1108, 8553, 0x00
10, 42, 1698658587, 333, 427, -604, 9587, 0x00
3, 42, 1698660155, 248, 424, -902, 8502, 0x00
5, 42, 1698661757, 297, 428, -703, 7114, 0x00
10, 43, 1698662187, 333, 427, -584, 9608, 0x00
3, 43, 1698663755, 272, 425, -481, 6944, 0x00
5, 43, 1698665357, 297, 427, -333, 5962, 0x00
10, 44, 1698665787, 334, 427, -524, 9664, 0x00
3, 44, 1698667355, 266, 425, 160, 4818, 0x00
5, 44, 1698668957, 271, 427, 39, 5097, 0x00
10, 45, 1698669387, 334, 427, -441, 9730, 0x00
3, 45, 1698670955, 264, 426, 430, 3903, 0x00
5, 45, 1698672557, 279, 427, 390, 4250, 0x00
10, 46, 1698672987, 335, 428, -357, 9798, 0x00
3, 46, 1698674555, 277, 427, 543, 3922, 0x00
5, 46, 1698676157, 280, 428, 581, 4008, 0x00
10, 47, 1698676587, 335, 427, -272, 9855, 0x00
3, 47, 1698678155, 279, 427, 1289, 2635, 0x00
5, 47, 1698679757, 263, 427, 658, 4014, 0x00
