Node,Message,Time UTC,Battery V,Last TX Dur ms,Temp C,Hum %,Status,Notes
10,1,2023-10-14T05:39:00,4.47,0.0,20.67,32,0x0,
3,1,2023-10-28T11:02:35,3.15,0.0,19.95,32,0x0,
5,1,2023-06-25T15:27:28,3.4,0.0,20.25,39,0x0,
5,1,2023-10-28T11:29:17,3.41,0.0,19.86,34,0x2,RFM95_NO_REPLY
10,2,2023-10-28T11:36:27,3.28,4.27,19.56,33,0x0,
3,2,2023-10-28T12:02:35,2.69,4.28,-9.88,82,0x0,
5,2,2023-10-28T12:29:17,2.75,4.27,-10.16,82,0x0,
10,3,2023-10-28T12:36:27,3.22,4.27,-1.15,95,0x0,
3,3,2023-10-28T13:02:35,2.93,4.25,-11.84,84,0x0,
5,3,2023-10-28T13:29:17,2.85,4.27,-12.67,80,0x0,
10,4,2023-10-28T13:36:27,3.32,4.27,-0.88,97,0x4,SD_FILE_ENTRY_WRITE_ERROR
3,4,2023-10-28T14:02:35,2.89,4.24,-12.77,84,0x0,
5,4,2023-10-28T14:29:17,2.76,4.27,-11.91,85,0x0,
10,5,2023-10-28T14:36:27,3.33,4.27,-1.15,98,0x0,
3,5,2023-10-28T15:02:35,2.63,4.24,-11.97,85,0x0,
5,5,2023-10-28T15:29:17,2.78,4.28,-11.18,84,0x0,
10,6,2023-10-28T15:36:27,3.34,4.27,-1.53,98,0x0,
3,6,2023-10-28T16:02:35,2.9,4.24,-11.7,85,0x0,
5,6,2023-10-28T16:29:17,2.68,4.27,-11.16,85,0x0,
10,7,2023-10-28T16:36:27,3.33,4.28,-1.82,98,0x0,
3,7,2023-10-28T17:02:35,2.66,4.25,-12.24,85,0x0,
5,7,2023-10-28T17:29:17,2.49,4.28,-12.67,86,0x0,
10,8,2023-10-28T17:36:27,3.33,4.27,-1.98,98,0x0,
3,8,2023-10-28T18:02:35,2.85,4.24,-15.57,83,0x0,
5,8,2023-10-28T18:29:17,2.85,4.27,-15.12,86,0x0,
10,9,2023-10-28T18:36:27,3.33,4.27,-2.2,98,0x0,
3,9,2023-10-28T19:02:35,2.7,4.24,-17.39,82,0x0,
5,9,2023-10-28T19:29:17,2.68,4.27,-16.46,85,0x0,
10,10,2023-10-28T19:36:27,3.33,4.27,-2.45,98,0x0,
3,10,2023-10-28T20:02:35,3.09,4.24,-18.26,83,0x0,
5,10,2023-10-28T20:29:17,2.78,4.27,-16.91,83,0x0,
10,11,2023-10-28T20:36:27,3.33,4.28,-2.82,98,0x0,
3,11,2023-10-28T21:02:35,2.83,4.25,-19.5,82,0x0,
5,11,2023-10-28T21:29:17,2.71,4.27,-18.27,83,0x0,
10,12,2023-10-28T21:36:27,3.34,4.27,-3.22,97,0x0,
3,12,2023-10-28T22:02:35,2.75,4.24,-19.23,83,0x0,
5,12,2023-10-28T22:29:17,2.52,4.27,-18.93,82,0x0,
10,13,2023-10-28T22:36:27,3.34,4.27,-3.63,97,0x0,
3,13,2023-10-28T23:02:35,2.51,4.24,-20.29,82,0x0,
5,13,2023-10-28T23:29:17,2.66,4.27,-20.12,82,0x0,
10,14,2023-10-28T23:36:27,3.34,4.27,-4.01,97,0x0,
3,14,2023-10-29T00:02:35,2.79,4.24,-20.81,82,0x0,
5,14,2023-10-29T00:29:17,2.83,4.28,-19.24,82,0x0,
10,15,2023-10-29T00:36:27,3.34,4.27,-4.44,96,0x0,
3,15,2023-10-29T01:02:35,2.95,4.23,-18.79,83,0x0,
5,15,2023-10-29T01:29:17,2.69,4.27,-17.75,83,0x0,
10,16,2023-10-29T01:36:27,3.34,4.27,-4.86,96,0x0,
3,16,2023-10-29T02:02:35,2.78,4.24,-18.87,83,0x0,
5,16,2023-10-29T02:29:17,2.89,4.27,-19.33,82,0x0,
10,17,2023-10-29T02:36:27,3.33,4.28,-5.13,96,0x0,
3,17,2023-10-29T03:02:35,2.79,4.24,-20.25,82,0x0,
5,17,2023-10-29T03:29:17,2.96,4.27,-15.15,84,0x0,
10,18,2023-10-29T03:36:27,3.33,4.27,-5.4,96,0x0,
3,18,2023-10-29T04:02:35,2.85,4.24,-11.84,88,0x0,
5,18,2023-10-29T04:29:17,2.77,4.28,-9.93,78,0x0,
10,19,2023-10-29T04:36:27,3.34,4.27,-5.46,96,0x0,
3,19,2023-10-29T05:02:35,2.84,4.25,-9.46,84,0x0,
5,19,2023-10-29T05:29:17,3.0,4.27,-5.83,68,0x0,
10,20,2023-10-29T05:36:27,3.34,4.27,-5.03,96,0x0,
3,20,2023-10-29T06:02:35,3.01,4.26,-4.46,76,0x0,
5,20,2023-10-29T06:29:17,2.91,4.27,-3.93,60,0x0,
10,21,2023-10-29T06:36:27,3.34,4.27,-4.41,97,0x0,
3,21,2023-10-29T07:02:35,2.56,4.26,0.8,59,0x0,
5,21,2023-10-29T07:29:17,2.85,4.28,0.05,49,0x0,
10,22,2023-10-29T07:36:27,3.34,4.27,-3.73,97,0x0,
3,22,2023-10-29T08:02:35,2.79,4.27,1.42,43,0x0,
5,22,2023-10-29T08:29:17,2.98,4.27,3.55,38,0x0,
10,23,2023-10-29T08:36:27,3.34,4.27,-3.12,98,0x0,
3,23,2023-10-29T09:02:35,2.73,4.27,5.41,31,0x0,
5,23,2023-10-29T09:29:17,2.53,4.27,1.15,44,0x0,
10,24,2023-10-29T09:36:27,3.34,4.27,-2.62,98,0x0,
3,24,2023-10-29T10:02:35,2.48,4.27,4.76,35,0x0,
5,24,2023-10-29T10:29:17,2.95,4.28,2.33,42,0x0,
10,25,2023-10-29T10:36:27,3.34,4.27,-2.28,98,0x2,RFM95_NO_REPLY
3,25,2023-10-29T11:02:35,2.62,4.27,3.26,37,0x2,RFM95_NO_REPLY
5,25,2023-10-29T11:29:17,2.71,4.27,0.45,45,0x2,RFM95_NO_REPLY
10,26,2023-10-29T11:36:27,3.35,4.27,-2.07,99,0x0,
5,26,2023-10-29T12:29:17,2.65,4.27,-4.79,62,0x0,
10,27,2023-10-29T12:36:27,3.35,4.27,-2.0,99,0x0,
3,27,2023-10-29T13:02:35,2.74,4.25,-7.49,68,0x0,
5,27,2023-10-29T13:29:17,2.87,4.27,-9.47,78,0x0,
3,28,2023-10-29T14:02:35,2.86,4.25,-12.52,83,0x0,
5,28,2023-10-29T14:29:17,2.44,4.28,-11.71,88,0x0,
10,29,2023-10-29T14:36:27,3.35,4.27,-2.27,99,0x0,
3,29,2023-10-29T15:02:35,2.73,4.25,-13.68,83,0x0,
5,29,2023-10-29T15:29:17,2.82,4.27,-12.3,87,0x0,
10,30,2023-10-29T15:36:27,3.34,4.27,-2.55,99,0x0,
3,30,2023-10-29T16:02:35,2.73,4.24,-15.34,83,0x0,
5,30,2023-10-29T16:29:17,2.93,4.27,-14.26,87,0x0,
10,31,2023-10-29T16:36:27,3.34,4.27,-2.92,98,0x0,
3,31,2023-10-29T17:02:35,2.67,4.25,-15.69,83,0x0,
5,31,2023-10-29T17:29:17,2.72,4.27,-15.27,83,0x0,
10,32,2023-10-29T17:36:27,3.34,4.28,-3.32,98,0x0,
3,32,2023-10-29T18:02:35,2.95,4.24,-16.54,83,0x0,
5,32,2023-10-29T18:29:17,2.72,4.27,-15.98,85,0x0,
10,33,2023-10-29T18:36:27,3.34,4.27,-3.7,98,0x0,
3,33,2023-10-29T19:02:35,2.74,4.24,-17.44,82,0x0,
5,33,2023-10-29T19:29:17,2.72,4.28,-15.95,84,0x0,
10,34,2023-10-29T19:36:27,3.34,4.27,-4.08,97,0x0,
3,34,2023-10-29T20:02:35,2.74,4.24,-17.02,83,0x0,
5,34,2023-10-29T20:29:17,2.91,4.27,-16.36,84,0x0,
10,35,2023-10-29T20:36:27,3.34,4.27,-4.42,97,0x0,
3,35,2023-10-29T21:02:35,2.88,4.24,-17.81,83,0x0,
5,35,2023-10-29T21:29:17,2.58,4.27,-17.04,84,0x0,
10,36,2023-10-29T21:36:27,3.34,4.28,-4.76,97,0x0,
3,36,2023-10-29T22:02:35,2.75,4.25,-18.19,82,0x0,
5,36,2023-10-29T22:29:17,2.72,4.27,-17.94,83,0x0,
10,37,2023-10-29T22:36:27,3.33,4.27,-5.02,97,0x0,
3,37,2023-10-29T23:02:35,2.79,4.24,-18.7,82,0x0,
5,37,2023-10-29T23:29:17,2.94,4.27,-17.84,83,0x0,
10,38,2023-10-29T23:36:27,3.33,4.27,-5.3,96,0x0,
3,38,2023-10-30T00:02:35,2.54,4.24,-18.23,83,0x0,
5,38,2023-10-30T00:29:17,2.66,4.27,-17.92,82,0x0,
10,39,2023-10-30T00:36:27,3.33,4.27,-5.53,96,0x0,
3,39,2023-10-30T01:02:35,2.83,4.24,-18.71,82,0x0,
5,39,2023-10-30T01:29:17,3.04,4.27,-18.7,83,0x0,
10,40,2023-10-30T01:36:27,3.34,4.28,-5.71,96,0x0,
3,40,2023-10-30T02:02:35,2.89,4.24,-18.71,81,0x0,
5,40,2023-10-30T02:29:17,2.82,4.27,-17.74,82,0x0,
10,41,2023-10-30T02:36:27,3.33,4.27,-5.9,96,0x0,
3,41,2023-10-30T03:02:35,2.82,4.24,-17.64,82,0x0,
5,41,2023-10-30T03:29:17,2.69,4.27,-11.08,86,0x0,
10,42,2023-10-30T03:36:27,3.33,4.27,-6.04,96,0x0,
3,42,2023-10-30T04:02:35,2.48,4.24,-9.02,85,0x0,
5,42,2023-10-30T04:29:17,2.97,4.28,-7.03,71,0x0,
10,43,2023-10-30T04:36:27,3.33,4.27,-5.84,96,0x0,
3,43,2023-10-30T05:02:35,2.72,4.25,-4.81,69,0x0,
5,43,2023-10-30T05:29:17,2.97,4.27,-3.33,60,0x0,
10,44,2023-10-30T05:36:27,3.34,4.27,-5.24,97,0x0,
3,44,2023-10-30T06:02:35,2.66,4.25,1.6,48,0x0,
5,44,2023-10-30T06:29:17,2.71,4.27,0.39,51,0x0,
10,45,2023-10-30T06:36:27,3.34,4.27,-4.41,97,0x0,
3,45,2023-10-30T07:02:35,2.64,4.26,4.3,39,0x0,
5,45,2023-10-30T07:29:17,2.79,4.27,3.9,42,0x0,
10,46,2023-10-30T07:36:27,3.35,4.28,-3.57,98,0x0,
3,46,2023-10-30T08:02:35,2.77,4.27,5.43,39,0x0,
5,46,2023-10-30T08:29:17,2.8,4.28,5.81,40,0x0,
10,47,2023-10-30T08:36:27,3.35,4.27,-2.72,99,0x0,
3,47,2023-10-30T09:02:35,2.79,4.27,12.89,26,0x0,
5,47,2023-10-30T09:29:17,2.63,4.27,6.58,40,0x0,
10,48,2023-10-30T09:36:27,3.36,4.27,-2.04,99,0x0,
3,48,2023-10-30T10:02:35,2.73,4.28,10.21,32,0x0,
5,48,2023-10-30T10:29:17,2.99,4.27,7.83,37,0x0,
10,49,2023-10-30T10:36:27,3.36,4.27,-1.56,99,0x2,RFM95_NO_REPLY
3,49,2023-10-30T11:02:35,2.45,4.28,9.47,32,0x2,RFM95_NO_REPLY
5,49,2023-10-30T11:29:17,2.92,4.27,3.11,48,0x2,RFM95_NO_REPLY
10,50,2023-10-30T11:36:27,3.36,4.27,-1.24,100,0x0,
3,50,2023-10-30T12:02:35,3.04,4.28,-1.39,62,0x0,
5,50,2023-10-30T12:29:17,2.59,4.27,-2.98,65,0x0,
10,51,2023-10-30T12:36:27,3.36,4.28,-1.11,100,0x0,
3,51,2023-10-30T13:02:35,2.89,4.26,-5.64,76,0x0,
5,51,2023-10-30T13:29:17,2.84,4.28,-6.05,82,0x0,
10,52,2023-10-30T13:36:27,3.36,4.27,-1.16,100,0x0,
3,52,2023-10-30T14:02:35,2.67,4.25,-8.31,84,0x0,
5,52,2023-10-30T14:29:17,2.74,4.27,-8.39,88,0x0,
10,53,2023-10-30T14:36:27,3.36,4.27,-1.35,100,0x0,
3,53,2023-10-30T15:02:35,2.68,4.25,-10.16,86,0x0,
5,53,2023-10-30T15:29:17,2.88,4.27,-9.03,89,0x0,
10,54,2023-10-30T15:36:27,3.36,4.28,-1.59,100,0x0,
3,54,2023-10-30T16:02:35,2.99,4.24,-11.28,86,0x0,
5,54,2023-10-30T16:29:17,2.82,4.28,-10.27,90,0x0,
10,55,2023-10-30T16:36:27,3.36,4.27,-1.87,100,0x0,
3,55,2023-10-30T17:02:35,2.85,4.25,-11.56,87,0x0,
5,55,2023-10-30T17:29:17,2.76,4.27,-11.13,90,0x0,
10,56,2023-10-30T17:36:27,3.36,4.27,-2.18,100,0x0,
3,56,2023-10-30T18:02:35,2.55,4.25,-13.17,84,0x0,
5,56,2023-10-30T18:29:17,2.74,4.27,-11.79,91,0x0,
10,57,2023-10-30T18:36:27,3.36,4.28,-2.54,99,0x0,
3,57,2023-10-30T19:02:35,2.91,4.24,-12.44,85,0x0,
5,57,2023-10-30T19:29:17,2.43,4.27,-10.53,90,0x0,
10,58,2023-10-30T19:36:27,3.36,4.27,-2.87,99,0x0,
3,58,2023-10-30T20:02:35,2.8,4.25,-11.4,86,0x0,
5,58,2023-10-30T20:29:17,2.7,4.27,-11.34,89,0x0,
10,59,2023-10-30T20:36:27,3.36,4.27,-3.13,99,0x0,
3,59,2023-10-30T21:02:35,2.88,4.24,-12.93,85,0x0,
5,59,2023-10-30T21:29:17,2.9,4.27,-13.02,87,0x0,
10,60,2023-10-30T21:36:27,3.36,4.27,-3.42,98,0x0,
3,60,2023-10-30T22:02:35,2.62,4.24,-13.25,86,0x0,
5,60,2023-10-30T22:29:17,2.99,4.28,-13.2,88,0x0,
10,61,2023-10-30T22:36:27,3.36,4.28,-3.69,98,0x0,
3,61,2023-10-30T23:02:35,2.78,4.24,-14.81,84,0x0,
5,61,2023-10-30T23:29:17,3.01,4.27,-14.02,86,0x0,
10,62,2023-10-30T23:36:27,3.36,4.27,-3.95,98,0x0,
3,62,2023-10-31T00:02:35,2.81,4.24,-14.89,86,0x0,
5,62,2023-10-31T00:29:17,2.71,4.27,-14.22,86,0x0,
10,63,2023-10-31T00:36:27,3.36,4.27,-4.23,98,0x0,
3,63,2023-10-31T01:02:35,2.78,4.25,-15.5,84,0x0,
5,63,2023-10-31T01:29:17,2.58,4.28,-14.05,85,0x0,
10,64,2023-10-31T01:36:27,3.36,4.27,-4.48,97,0x0,
