Node,Message,Time UTC,Battery V,Last TX Dur ms,Temp C,Hum %,Status,Notes
3,1,2023-10-28T11:02:35,3.15,0.0,19.95,32,0x0,
3,2,2023-10-28T12:02:35,2.69,4.28,-9.88,82,0x0,
3,3,2023-10-28T13:02:35,2.93,4.25,-11.84,84,0x0,
3,4,2023-10-28T14:02:35,2.89,4.24,-12.77,84,0x0,
3,5,2023-10-28T15:02:35,2.63,4.24,-11.97,85,0x0,
3,6,2023-10-28T16:02:35,2.9,4.24,-11.7,85,0x0,
3,7,2023-10-28T17:02:35,2.66,4.25,-12.24,85,0x0,
3,8,2023-10-28T18:02:35,2.85,4.24,-15.57,83,0x0,
3,9,2023-10-28T19:02:35,2.7,4.24,-17.39,82,0x0,
3,10,2023-10-28T20:02:35,3.09,4.24,-18.26,83,0x0,
3,11,2023-10-28T21:02:35,2.83,4.25,-19.5,82,0x0,
3,12,2023-10-28T22:02:35,2.75,4.24,-19.23,83,0x0,
3,13,2023-10-28T23:02:35,2.51,4.24,-20.29,82,0x0,
3,14,2023-10-29T00:02:35,2.79,4.24,-20.81,82,0x0,
3,15,2023-10-29T01:02:35,2.95,4.23,-18.79,83,0x0,
3,16,2023-10-29T02:02:35,2.78,4.24,-18.87,83,0x0,
3,17,2023-10-29T03:02:35,2.79,4.24,-20.25,82,0x0,
3,18,2023-10-29T04:02:35,2.85,4.24,-11.84,88,0x0,
3,19,2023-10-29T05:02:35,2.84,4.25,-9.46,84,0x0,
3,20,2023-10-29T06:02:35,3.01,4.26,-4.46,76,0x0,
3,21,2023-10-29T07:02:35,2.56,4.26,0.8,59,0x0,
3,22,2023-10-29T08:02:35,2.79,4.27,1.42,43,0x0,
3,23,2023-10-29T09:02:35,2.73,4.27,5.41,31,0x0,
3,24,2023-10-29T10:02:35,2.48,4.27,4.76,35,0x0,
3,25,2023-10-29T11:02:35,2.62,4.27,3.26,37,0x2,RFM95_NO_REPLY
3,27,2023-10-29T13:02:35,2.74,4.25,-7.49,68,0x0,
3,28,2023-10-29T14:02:35,2.86,4.25,-12.52,83,0x0,
3,29,2023-10-29T15:02:35,2.73,4.25,-13.68,83,0x0,
3,30,2023-10-29T16:02:35,2.73,4.24,-15.34,83,0x0,
3,31,2023-10-29T17:02:35,2.67,4.25,-15.69,83,0x0,
3,32,2023-10-29T18:02:35,2.95,4.24,-16.54,83,0x0,
3,33,2023-10-29T19:02:35,2.74,4.24,-17.44,82,0x0,
3,34,2023-10-29T20:02:35,2.74,4.24,-17.02,83,0x0,
3,35,2023-10-29T21:02:35,2.88,4.24,-17.81,83,0x0,
3,36,2023-10-29T22:02:35,2.75,4.25,-18.19,82,0x0,
3,37,2023-10-29T23:02:35,2.79,4.24,-18.7,82,0x0,
3,38,2023-10-30T00:02:35,2.54,4.24,-18.23,83,0x0,
3,39,2023-10-30T01:02:35,2.83,4.24,-18.71,82,0x0,
3,40,2023-10-30T02:02:35,2.89,4.24,-18.71,81,0x0,
3,41,2023-10-30T03:02:35,2.82,4.24,-17.64,82,0x0,
3,42,2023-10-30T04:02:35,2.48,4.24,-9.02,85,0x0,
3,43,2023-10-30T05:02:35,2.72,4.25,-4.81,69,0x0,
