
My header: Time,Message,Battery V,Last TX Dur ms,Temp C,Hum %,Status,Notes

Data Logger: HAST-2.1,,,,,,,
Data Logger File: HAST-2.1-Node3-2025-01-20.csv,,,,,,,
Sampling Feature UUID: db37b10d-62bc-48ca-97c8-72c164d09999,,,,,,,

Result UUID:,4d3eab5b-889f-4275-96ee-7ea018d9999,072d204e-ad0d-4367-b0a4-8e648c749999,3…9,9…9,8…9

Temperature: fbee68c8-5463-4a38-98a8-f985fba923e8
Humidity: be1d621e-95d4-447e-bee7-97d4102c9f2e

SampleNumber: 36f4f6a1-2f36-4083-b8a8-94f50acdd066
Battery: 55f349b7-3491-40de-a828-9abb31e9f20d

Date and Time in UTC,SampleNumber,Battery,TXDuration,Temperature,Humidity,NodeStatus,MainNodeNotes

2023-10-28 11:02:35,1,3.15,0.0,19.95,32,0x0,
2023-10-28 12:02:35,2,2.69,4.28,-9.88,82,0x0,
2023-10-28 13:02:35,3,2.93,4.25,-11.84,84,0x0,
2023-10-28 14:02:35,4,2.89,4.24,-12.77,84,0x0,
2023-10-28 15:02:35,5,2.63,4.24,-11.97,85,0x0,
2023-10-28 16:02:35,6,2.9,4.24,-11.7,85,0x0,
2023-10-28 17:02:35,7,2.66,4.25,-12.24,85,0x0,
2023-10-28 18:02:35,8,2.85,4.24,-15.57,83,0x0,
2023-10-28 19:02:35,9,2.7,4.24,-17.39,82,0x0,
2023-10-28 20:02:35,10,3.09,4.24,-18.26,83,0x0,
2023-10-28 21:02:35,11,2.83,4.25,-19.5,82,0x0,
2023-10-28 22:02:35,12,2.75,4.24,-19.23,83,0x0,
2023-10-28 23:02:35,13,2.51,4.24,-20.29,82,0x0,
2023-10-29 00:02:35,14,2.79,4.24,-20.81,82,0x0,
2023-10-29 01:02:35,15,2.95,4.23,-18.79,83,0x0,
2023-10-29 02:02:35,16,2.78,4.24,-18.87,83,0x0,
2023-10-29 03:02:35,17,2.79,4.24,-20.25,82,0x0,
2023-10-29 04:02:35,18,2.85,4.24,-11.84,88,0x0,
2023-10-29 05:02:35,19,2.84,4.25,-9.46,84,0x0,
2023-10-29 06:02:35,20,3.01,4.26,-4.46,76,0x0,
2023-10-29 07:02:35,21,2.56,4.26,0.8,59,0x0,
2023-10-29 08:02:35,22,2.79,4.27,1.42,43,0x0,
2023-10-29 09:02:35,23,2.73,4.27,5.41,31,0x0,
2023-10-29 10:02:35,24,2.48,4.27,4.76,35,0x0,
2023-10-29 11:02:35,25,2.62,4.27,3.26,37,0x2,RFM95_NO_REPLY
2023-10-29 13:02:35,27,2.74,4.25,-7.49,68,0x0,
2023-10-29 14:02:35,28,2.86,4.25,-12.52,83,0x0,
2023-10-29 15:02:35,29,2.73,4.25,-13.68,83,0x0,
2023-10-29 16:02:35,30,2.73,4.24,-15.34,83,0x0,
